Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,rf,SP500,MSCI_WORLD,Corp3y,Corp10y,spread_mat,Mom,high_yield,inv_grade,default_spread
2015-11-30,0.002,-0.0073,0.0015,-0.0103,-0.0117,-0.0075,-0.0133,-0.0049,0.0008,0.0141,-0.0012,0.0373,0.0023,0.0022,0.000503516097658751,0.00467616028382811,0.020754545454545456,0.04505909090909091,0.024304545454545454,2.28,0.17631363636363637,0.028195454545454544,0.14811818181818182
2015-12-31,-0.0085,-0.0078,-0.0012,0.016,-0.013,-0.0071,-0.0154,0.0131,0.0015,-0.0205,-0.0001,-0.0219,0.0021,0.0016,-0.0175302087340599,-0.022643159066373403,0.021,0.04557619047619047,0.02457619047619047,3.36,0.19069523809523808,0.027323809523809525,0.16337142857142856
2016-01-31,-0.0141,-0.0197,-0.0345,-0.0117,-0.0304,-0.0136,-0.0372,0.0059,-0.0076,-0.0057,-0.0278,0.0402,-0.0048,0.0032,-0.0507340450366362,-0.0548363657596955,0.02152380952380952,0.04479523809523809,0.023271428571428568,1.44,0.20816190476190483,0.026004761904761906,0.1821571428571429
2016-02-29,-0.0108,-0.0009,-0.0087,-0.0073,-0.0181,-0.0116,-0.0209,0.0021,-0.0105,-0.0155,-0.0176,0.0323,-0.0084,0.0033,-0.00413004801053751,-0.0174826475100139,0.020277272727272727,0.04456363636363636,0.024286363636363634,-4.38,0.19285909090909087,0.025559090909090906,0.16729999999999995
2016-03-31,0.0029,0.017,0.0319,0.0156,0.003,0.0057,0.0017,0.0131,0.0059,-0.0013,0.0067,-0.0283,0.0074,0.0021,0.0659937066108857,0.0500784900816697,0.01748181818181818,0.04178181818181818,0.024299999999999995,-5.01,0.17936363636363636,0.024259090909090907,0.15510454545454547
2016-04-30,0.0034,0.0148,0.0121,-0.0087,0.0167,0.0162,0.0172,-0.0023,0.0142,0.0025,-0.007,-0.0304,0.004,0.0022,0.00269700118981286,0.0065389180989818795,0.017218181818181817,0.04166818181818182,0.024450000000000003,-6.02,0.16381818181818178,0.025127272727272727,0.13869090909090906
2016-05-31,0.0036,0.0058,-0.0021,0.0021,0.0101,0.008,0.0111,0.0048,0.0012,-0.0023,0.0138,-0.032,0.0094,0.0034000000000000002,0.0153333417824539,0.0142400421527233,0.016536363636363637,0.03996363636363637,0.02342727272727273,1.42,0.15088181818181817,0.024345454545454545,0.1265363636363636
2016-06-30,-0.001,0.0056,0.0077,-0.0253,-0.0055,-0.0048,-0.0059,0.0033,-0.005,0.0069,-0.0187,0.0419,-0.001,0.0026,0.0009017948134477639,-0.014720909820557699,0.01570909090909091,0.038127272727272725,0.022418181818181816,4.13,0.1444409090909091,0.02303181818181818,0.12140909090909091
2016-07-31,0.0115,0.0148,0.0179,0.0086,0.0152,0.0107,0.0172,0.0056,0.0108,0.0029,0.013,0.0161,0.0107,0.0027,0.0356140015941877,0.0404192285057969,0.015756521739130436,0.03727391304347826,0.021517391304347825,-3.34,0.13961739130434783,0.023395652173913043,0.11622173913043479
2016-08-31,0.0047,0.0126,0.018,0.001,0.0133,0.0099,0.0147,0.0107,0.0076,0.0018,0.0044,-0.0309,0.0087,0.0033,-0.00122234885800986,0.00205267453117197,0.016272727272727272,0.03723636363636364,0.020963636363636365,-3.49,0.13484545454545455,0.02480454545454545,0.11004090909090909
2016-09-30,0.0012,0.0104,0.0057,0.0062,0.0009,0.0067,-0.0015,0.0066,0.0075,0.0011,0.0013,-0.0172,0.0059,0.0028000000000000004,-0.0012321204097972501,0.00021243912654322902,0.01695238095238095,0.03761904761904762,0.02066666666666667,0.19,0.1264761904761905,0.02555238095238095,0.10092380952380954
2016-10-31,-0.0018,0.0007,0.0039,-0.0027,-0.0008,0.0113,-0.0056,-0.0058,0.0042,0.0151,-0.0093,-0.0417,0.001,0.0034000000000000002,-0.0194250494708417,-0.00748211481695648,0.018631818181818183,0.04123181818181818,0.0226,0.59,0.13227727272727272,0.028613636363636362,0.10366363636363635
2016-11-30,0.0036,-0.0004,-0.0048,-0.0189,0.011,0.0107,0.0113,0.0075,0.005,0.0193,-0.0013,-0.0174,-0.0052,0.0048,0.0341730542946547,0.024459956891767297,0.02063181818181818,0.04339545454545455,0.022763636363636368,-4.62,0.11937272727272727,0.031086363636363638,0.08828636363636364
2016-12-31,0.0096,0.0039,-0.0017,-0.005,0.0123,0.0134,0.012,0.006,0.0091,0.0108,0.0086,0.002,0.0158,0.005,0.0181990369547986,0.0266842695152116,0.020238095238095236,0.04293809523809524,0.022700000000000005,-0.26,0.1095047619047619,0.030333333333333334,0.07917142857142856
2017-01-31,0.007,0.0131,0.0214,0.0201,0.0135,0.0124,0.0142,-0.0002,0.0096,-0.0028,0.0112,-0.0145,0.008,0.0052,0.0178844611927937,0.012261307476649901,0.019805,0.04305,0.023245,-0.93,0.101815,0.030345,0.07147
2017-02-28,0.0097,0.0113,0.0101,-0.0112,0.0107,0.0093,0.0113,0.0098,0.0072,0.0033,0.0136,0.0239,0.0093,0.0053,0.0371988846141699,0.0290450448457353,0.02051304347826087,0.04333913043478261,0.02282608695652174,-1.65,0.10211739130434783,0.03134782608695652,0.0707695652173913
2017-03-31,0.0039,-0.0021,0.0107,0.0125,0.0022,0.0005,0.0031,0.0024,0.0062,0.0019,0.0094,-0.0191,0.01,0.0075,-0.000389220623003061,0.00714084733827458,0.020034999999999997,0.041085,0.021050000000000006,-1.02,0.102975,0.02987,0.073105
2017-04-30,0.0043,0.0029,0.0109,0.0017,0.0058,0.0102,0.0035,0.0106,0.0037,-0.0059,0.0148,-0.0054,0.0083,0.0079,0.00909007990504218,0.00998727669317478,0.02016086956521739,0.040847826086956515,0.020686956521739124,0.48,0.10042173913043477,0.02974782608695652,0.07067391304347825
2017-05-31,0.0082,0.0009,0.0082,-0.0028,0.0096,0.0056,0.0116,0.0112,0.0088,-0.0049,0.0175,0.0043,0.015,0.0096,0.011576989486520499,0.0115032234386462,0.02037272727272727,0.039777272727272724,0.019404545454545452,1.48,0.10114545454545454,0.028681818181818187,0.07246363636363636
2017-06-30,-0.0049,-0.0017,0.0073,0.0048,-0.0045,0.0006,-0.0074,0.0052,0.0036,-0.007,-0.0019,-0.0329,-0.0005,0.0101,0.0048144869756812,-0.0011638294197972,0.020099999999999996,0.040471428571428575,0.02037142857142858,-0.09,0.10392380952380952,0.028904761904761905,0.07501904761904761
2017-07-31,0.0137,0.0122,0.0211,0.0347,0.0124,0.0068,0.015,0.017,0.0087,0.0134,0.019,0.0129,0.0077,0.0105,0.019349245754666,0.013700430345180198,0.019630434782608695,0.039595652173913046,0.01996521739130435,1.68,0.10491304347826087,0.02836086956521739,0.07655217391304348
2017-08-31,0.0059,-0.0028,0.0174,0.0097,-0.0071,0.0018,-0.0113,-0.0052,0.0055,0.0036,0.0083,0.0277,0.0074,0.009899999999999999,0.000546566274547188,-0.00061920197252252,0.019918181818181818,0.0394,0.01948181818181818,3.26,0.10447272727272727,0.02838636363636364,0.07608636363636363
2017-09-30,-0.0015,0.0066,0.0163,-0.0008,0.0038,0.0069,0.0024,0.0049,-0.0119,0.0012,0.0024,-0.0266,-0.0013,0.0104,0.0193026763296675,0.0215815344002008,0.020640909090909088,0.039786363636363634,0.019145454545454545,-1.32,0.10337272727272728,0.028718181818181816,0.07465454545454547
2017-10-31,0.0128,0.0041,0.0181,-0.0059,0.0024,0.0053,0.0011,0.0002,0.0082,0.0079,0.0205,0.0499,0.0061,0.0113,0.0221898283002104,0.0246362338104286,0.022436363636363636,0.03965909090909091,0.01722272727272727,4.27,0.1078090909090909,0.029227272727272727,0.07858181818181817
2017-11-30,0.001,-0.0053,0.0048,-0.0044,-0.0027,-0.0038,-0.002,-0.0051,0.0048,0.0008,0.0036,-0.0009,0.0012,0.0125,0.028081044037431,0.0139869767640914,0.02371904761904762,0.039357142857142854,0.015638095238095236,-0.87,0.10679047619047619,0.029547619047619048,0.07724285714285714
2017-12-31,0.0091,0.0099,0.0108,0.024,0.0154,0.0152,0.0161,0.0059,0.0091,0.0099,0.0083,0.0164,-0.0048,0.0137,0.00983184507423562,0.010068793032539101,0.02505,0.0401,0.015049999999999997,-1.54,0.1015681818181818,0.030795454545454546,0.07077272727272725
