Date,HFI,CA,EM,EMN,ED,EDD,EDM,EDRA,FIA,GM,LE,MF,M,SP500,spread_mat,Mom,default_spread
2002-01-31,0.0054,0.0112,0.0276,0.0012,0.0118,0.0158,0.0108,0.0029,0.0103,0.0264,-0.006,-0.0127,-0.0003,-0.0155698209184028,0.024325,3.75,0.20812999999999998
2002-02-28,-0.0056,-0.0315,0.0289,0.0003,-0.0034,-0.0063,-0.0004,-0.0122,0.0087,0.0052,-0.0099,-0.024,-0.0027,-0.0207672132992556,0.022866666666666674,6.82,0.1971285714285714
2002-03-31,0.0074,-0.0002,0.0395,0.008,0.0119,0.0123,0.0118,0.01,0.0063,-0.0019,0.0091,-0.0091,0.007,0.0367325139008183,0.022095454545454543,-1.64,0.18372272727272726
2002-04-30,0.0079,0.0121,0.0012,0.0053,0.0074,0.0089,0.0063,0.0088,0.0135,0.017,0.0061,-0.0161,0.008,-0.061411302991625,0.023499999999999993,7.63,0.16006086956521742
2002-05-31,0.0067,0.0023,-0.0073,0.0129,0.0012,0.0019,0.0009,0.0003,0.0144,0.0078,0.008,0.0351,0.0085,-0.00908689935408635,0.025471428571428575,3.16,0.16496666666666668
2002-06-30,-0.0084,-0.0033,-0.0375,0.0052,-0.0293,-0.0379,-0.0262,-0.0117,0.0065,0.0142,-0.0126,0.0863,0.0009,-0.07245900975703129,0.026965217391304357,6.03,0.18317391304347824
2002-07-31,-0.0135,-0.0155,-0.0119,0.0184,-0.031,-0.0427,-0.0239,-0.0273,0.0108,0.0215,-0.0295,0.0612,-0.0095,-0.0789999979086987,0.02678695652173913,3.77,0.20125652173913045
2002-08-31,0.0085,0.006,0.0126,0.0057,0.0027,0.0028,0.0044,-0.0123,0.0123,0.0122,0.0101,0.0336,0.0083,0.00488587885947966,0.02448571428571429,1.9,0.2135857142857143
2002-09-30,0.0008,0.0137,-0.0198,-0.0003,-0.002,-0.0025,-0.0012,-0.0056,-0.0114,0.0076,-0.0047,0.0411,0.0084,-0.110022218096884,0.023747826086956525,9.13,0.21947826086956518
2002-10-31,-0.0004,0.0103,0.0238,0.0041,-0.0018,-0.0072,0.001,0.0052,-0.0227,0.0072,0.0008,-0.0503,0.01,0.0864456092373231,0.02592727272727273,-5.58,0.19694090909090914
2002-11-30,0.0109,0.0192,0.0224,0.0031,0.0257,0.0391,0.0205,0.0021,-0.0053,0.0123,0.0057,-0.0209,0.0176,0.0570708433169639,0.02684285714285714,-16.33,0.17981904761904757
2002-12-31,0.0107,0.0166,-0.0053,0.0082,0.0099,0.0117,0.0093,0.0053,0.0132,0.0085,0.0076,0.055,0.0054,-0.060337216483629996,0.02640454545454546,9.64,0.16274545454545458
2003-01-31,0.0128,0.0302,-0.0045,0.0031,0.0227,0.0312,0.0198,-0.0039,0.0126,0.0203,-0.0007,0.0607,0.0147,-0.0274138172267459,0.027515000000000005,1.55,0.16533
2003-02-28,0.0068,0.0139,0.0102,-0.0006,0.0063,0.0089,0.0063,-0.0071,0.0099,0.0187,-0.0021,0.0643,0.0011,-0.0170032741618877,0.025619047619047614,1.17,0.16384285714285718
2003-03-31,0.0026,0.0095,0.01,0.0079,0.0101,0.0119,0.0105,-0.0027,0.0042,-0.0066,0.0043,-0.061,0.0076,0.00835653370824851,0.026690476190476195,1.48,0.14030476190476188
2003-04-30,0.0196,0.0142,0.0389,0.004,0.0251,0.0327,0.0203,0.0152,0.0125,0.0216,0.0244,0.0139,0.0155,0.0810402941925134,0.025721739130434778,-9.33,0.1248304347826087
2003-05-31,0.0271,0.0176,0.0501,0.0122,0.0235,0.0227,0.0237,0.0256,0.0128,0.0296,0.0368,0.0514,0.0196,0.0508997552665675,0.02608571428571429,-10.7,0.11412380952380953
2003-06-30,0.0083,-0.0062,0.0202,0.0046,0.018,0.0263,0.0128,0.0075,0.0034,0.0163,0.0079,-0.0221,0.011,0.011326535398783,0.029882608695652173,-1.0,0.10691304347826086
2003-07-31,0.0008,-0.0035,0.0056,0.0068,0.0095,0.0114,0.0081,0.0048,-0.0098,-0.0011,0.0027,-0.0275,0.0034,0.0162216371477952,0.031081818181818183,-0.24,0.1012909090909091
